,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,duty_factor,stance_duration
1461,NotAtaxic,Switch,ControlPBS03,S5,Split,97,7,31,1.240410082267971,0.06233369461214977,-0.8492830657779107,-0.12211902156924913,7.782822425919363,5.380691181529642,-2.217221500897665,-10.524718873052652,-42.42424242424477
1462,NotAtaxic,Switch,ControlPBS03,S5,Split,98,8,32,2.090955021405435,1.1885219150119468,-3.18758344459279,-0.12003103308648598,7.226315893308097,5.32369054929174,-4.14199583896044,-8.50894075307506,-16.6666666666697
1463,NotAtaxic,Switch,ControlPBS03,S5,Split,99,9,33,-4.019943391433898,-1.6347386789167047,-5.269883049355368,-0.11837327470836194,7.560067224984245,2.398957146538649,-5.466459255025839,-6.601870785718582,-27.272727272728844
1464,NotAtaxic,Switch,ControlPBS03,S5,Split,100,10,34,0.5034398550938732,0.17015737826066868,-2.1929824561403506,-0.11164322633817568,5.876455082235111,2.514702382713878,-2.8746132898811965,-6.295452808639659,-36.36363636364513
1465,NotAtaxic,Switch,ControlPBS03,S5,Split,101,11,35,-1.071815223960641,-0.5220720623763171,-2.88981288981289,-0.12644033467285354,5.259273028132867,1.0054706600836596,-4.09740293868866,-6.323658986266288,-12.121212121219287
1466,NotAtaxic,Switch,ControlPBS03,S5,Washout,102,0,39,3.502739800347207,1.5804656140216267,-6.708485917084859,-0.0038991384888517056,-1.4968549132977813,1.3499812887172595,1.8877236530034338,1.891941129280319,3.0303030303020932
1467,NotAtaxic,Switch,ControlPBS03,S5,Washout,103,1,40,2.4699432681304785,1.7708932510530175,0.3221352968246656,0.0006528664132316314,-0.21151918353453425,1.8858360521721238,1.0668976138336461,2.9039112445041546,15.151515151517742
1468,NotAtaxic,Switch,ControlPBS03,S5,Washout,104,2,41,2.3300864479758303,1.1019995718291113,-5.797101449275362,-0.0030741821437424294,-1.1020005351365114,0.4475449070785942,0.8731186991990398,1.2912887895473126,3.0303030302984553
1469,NotAtaxic,Switch,ControlPBS03,S5,Washout,105,3,42,0.6282228412049591,0.46722624037002447,-4.684908789386401,-0.004342094440702035,-2.1582786482993583,0.38997958404846145,0.6507102889243868,1.3316230360650572,9.09090909090446
1470,Ataxic,Switch,Ataxic03,S1,Baseline,1,0,0,1.474060675110465,0.46128552369394527,0.29733365392738564,-0.0002604219857985923,1.410166422526018,0.2882244611027147,0.08562454069506487,0.7461456467537602,7.275957614183426e-12
1471,Ataxic,Switch,Ataxic03,S1,Baseline,2,1,1,0.0,0.0,-1.067319461444308,0.0,-0.1299463137231669,0.0,-0.4288779364691777,0.0,0.0
1472,Ataxic,Switch,Ataxic03,S1,Baseline,3,2,2,-0.5175349688289401,-0.16335574063387526,0.0,0.0021484170482392595,0.0,-0.33650253758287363,0.0,-0.46160130718830317,-6.0606060606005485
1473,Ataxic,Switch,Ataxic03,S1,Split,4,0,0,-11.245249738596911,-4.667024901418998,8.167550107874998,-0.1195665365230541,12.950072625670742,4.1710564584442835,-14.237798825658928,-13.844421962067631,-30.3030303030273
1474,Ataxic,Switch,Ataxic03,S1,Intersplit,5,0,0,0.7632477114899103,0.11780478737569666,-0.0009657170449060004,-0.004470032530939333,-0.38635562164617454,-0.48070772729739986,0.11783850313439359,-0.9904474610340799,-9.09090909090446
1475,Ataxic,Switch,Ataxic03,S1,Split,6,1,1,-13.610724246863185,-5.377228091461497,14.826641922006683,-0.11761893160219747,12.340661251183704,4.23808964816007,-14.58423469264838,-12.137504427057724,-27.272727272720658
1476,Ataxic,Switch,Ataxic03,S1,Intersplit,7,1,1,2.2647587939946163,0.5707746632343369,-2.111914401388085,-0.002813682291840966,-1.7683086973248265,0.29242255470967393,0.6727507620147009,-1.240768701402171,-12.121212121208373
1477,Ataxic,Switch,Ataxic03,S1,Split,8,2,2,-11.027442084418425,-5.112210367665163,7.90038302580296,-0.11883401836944889,12.786429819434545,4.215775114117221,-14.461141644102128,-13.713567901386114,-30.30303030302821
1478,Ataxic,Switch,Ataxic03,S1,Intersplit,9,2,2,1.4660305447048216,0.050679601804162644,-1.9236326109391113,0.0011928494823459646,0.2655491684421918,0.31541381219417985,-0.3882244379833537,-1.0061919504621955,-6.0606060606005485
1479,Ataxic,Switch,Ataxic03,S1,Split,10,3,3,-12.25778598978063,-4.978344244358354,12.14327485380117,-0.12067149604038327,12.55813752761992,4.815444560966085,-14.828547724971045,-13.324420677358972,-30.30303030302821
1480,Ataxic,Switch,Ataxic03,S1,Intersplit,11,3,3,1.6441114021069865,0.6645973282630848,-2.565500483616032,0.00019997435730675917,-2.8840344361584584,0.0120509754527518,0.32570964158185234,-1.7621802819467192,-15.151515151508647
1481,Ataxic,Switch,Ataxic03,S1,Split,12,4,4,-11.065766305634455,-4.7645029395517895,7.419429781854833,-0.11804189039296178,11.69062913066206,4.851158219154456,-14.62911933359473,-13.404977375562588,-33.33333333333576
1482,Ataxic,Switch,Ataxic03,S1,Intersplit,13,4,4,3.3823649088541288,0.9838342506074582,-3.4058332484984213,-0.0031792153809803714,-0.10935465494794983,0.8637418650617406,0.41369428538314423,-2.7506625545843306,-9.09090909090446
1483,Ataxic,Switch,Ataxic03,S1,Split,14,5,5,-12.251220086608292,-4.550686843781623,10.469527577112718,-0.11446132360387193,13.041220770941813,4.265824231234454,-13.343312624291144,-13.713443291331899,-33.333333333323026
1484,Ataxic,Switch,Ataxic03,S1,Washout,15,0,0,1.3266669379340215,0.745619667900911,-1.0649692935254111,-0.001240940685784328,0.24575127495657512,0.7159493186257038,0.09168326252638437,-0.7222693189978777,-6.0606060606005485
1485,Ataxic,Switch,Ataxic03,S1,Washout,16,1,1,3.8861939401337295,1.2785889666708776,-4.366554233682742,-0.0030988598514124915,-0.6198150943024103,0.9360414562803214,1.202974415788752,-2.630105839803207,-9.090909090903551
1486,Ataxic,Switch,Ataxic03,S1,Washout,17,2,2,3.004463272865351,1.463015633400044,-2.946415846191882,-0.0018483507340821131,0.27571013479518314,1.138328943991091,1.121743520100921,-1.730694444042463,-6.0606060606078245
1487,Ataxic,Switch,Ataxic03,S1,Washout,18,3,3,2.6999040083451433,1.1951066026783792,-2.0399910451510044,-0.0022794317086792526,-0.1596701265585665,1.0789717086637864,1.0780748694834017,-2.158977612607657,-12.121212121204735
1488,Ataxic,Switch,Ataxic03,S1,Washout,19,4,4,1.8918201176807017,0.5068306971077874,-1.8108540471362415,-0.005632548118462213,0.6886183613478494,0.7874664152511386,0.15429198139846534,-3.12271118706623,-6.0606060606078245
1489,Ataxic,Switch,Ataxic03,S1,Washout,20,5,5,3.019282793757867,1.1384080548807312,-2.4827935222672055,-0.0037398261602877153,0.21981904000945462,1.578547788515536,0.6896014165396736,-1.9237401731830168,-3.0303030302998195
