,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Perc,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,stance_duration
12620,NotAtaxic,Switch,Switch07,S3,Baseline,45,2,8,0,-1.1221837515783193,0.3318993732182669,2.4812600921992036,0.01417097653016696,-0.544765742138182,1.303682423601245,0.05847468520653365,3.0303030303037986
12621,NotAtaxic,Switch,Switch07,S3,Baseline,45,2,8,1,-2.184580793284397,0.4068437248769534,5.434746056787976,-0.0015538250525216346,-0.7237097229620275,0.9241412384341885,-1.2417571713226607,12.121212121210192
12622,NotAtaxic,Switch,Switch07,S3,Baseline,45,2,8,2,-3.549625897648383,-0.42085888409856764,1.097024395391184,0.0025526419895585545,3.8097381591796733,0.3363638213186704,-2.1765737822561846,4.545454545454049
12623,NotAtaxic,Switch,Switch07,S3,Baseline,45,2,8,3,0.15381321762544076,-0.6264373509570653,3.4746305111737112,0.004307698177099875,-1.2117828985657582,-0.5209874625157198,-1.0907336918994446,-3.0303030303020932
12624,NotAtaxic,Switch,Switch07,S3,Baseline,45,2,8,4,0.5437523427635398,0.5306836330529485,-6.864191159664669,0.015325518892024978,-0.4171390726108797,0.9709907300544529,0.8600678106751047,-1.5151515151501371
12625,NotAtaxic,Switch,Switch07,S3,Baseline,45,2,8,5,-0.5229140772963774,0.1435409892688746,1.367202151515876,0.004235706161321018,0.5984258170079357,0.987738792342455,-0.6327118536438547,9.090909090911737
12626,NotAtaxic,Switch,Switch07,S3,Baseline,45,2,8,6,-3.143248895202049,-0.19643716137818146,1.3892893569522275,0.007538072381626876,-0.617468477499628,0.2912848886817727,-1.0700861612955634,-1.5151515151410422
12627,NotAtaxic,Switch,Switch07,S3,Baseline,45,2,8,7,-1.8574261906171046,-0.20099745856394335,2.7003858859029473,0.008237614587944864,-0.5395715886896397,0.5157258775498832,-1.4723151621192585,-3.0303030303039122
12628,NotAtaxic,Switch,Switch07,S3,Baseline,45,2,8,8,2.1201702079387985,1.492329318114006,-0.3304913269995211,0.0021265084069193585,0.33034892997356735,1.285215820929082,-0.10759758226799931,7.275957614183426e-12
12629,NotAtaxic,Switch,Switch07,S3,Baseline,45,2,8,9,-1.9908481174045107,0.6787372357917754,1.5139082511894997,-0.002774936407600029,-0.8833181978475722,1.3116682418669257,-0.6892156119298534,3.0303030303039122
