,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,stance_duration
106,NotAtaxic,Switch,SwitchLeft01,S3,Split,54,2,10,-4.57101687036382,,,,,,,
107,,,,,,,,,,-2.7268140002934516,6.0101736131484405,-0.14559651609069457,11.81363963117505,4.395425199258142,-9.945925317629403,-21.212121212131024
108,NotAtaxic,Switch,SwitchLeft01,S3,Intersplit,55,6,24,0.5927808357007223,,,,,,,
109,,,,,,,,,,0.9410800355853866,0.7606268636016926,0.003957975924324814,0.41104711667458105,0.3251624829840978,1.167031490441559,3.0303030302929983
110,NotAtaxic,Switch,SwitchLeft01,S3,Intersplit,56,7,25,-0.45878092447912877,,,,,,,
111,,,,,,,,,,0.41158656881313505,1.2726589491631897,0.00011212025406737158,-0.219819040009412,0.35513290251140006,0.302004573321085,3.0303030303002743
112,NotAtaxic,Switch,SwitchLeft01,S3,Intersplit,57,8,26,-0.04613086430713054,,,,,,,
113,,,,,,,,,,0.46861532962685715,0.16693948170081097,0.00560065858820917,-1.0566094909051316,-0.35441620181310896,0.41327813659052026,3.0303030303002743
114,NotAtaxic,Switch,SwitchLeft01,S3,Split,58,3,11,-4.708091658775231,,,,,,,
115,,,,,,,,,,-2.3179930869978804,5.364998796060851,-0.1438016793189543,12.064061020359873,4.348095980557474,-9.394397157611266,-19.69696969697543
116,NotAtaxic,Switch,SwitchLeft01,S3,Washout,59,0,10,1.1971598923808244,,,,,,,
117,,,,,,,,,,0.7476267188486503,-0.9565643347852637,0.003046363631912144,0.47486430466780405,0.4048684630730577,0.8132780441130336,3.0303030303057312
118,NotAtaxic,Switch,SwitchLeft01,S3,Washout,60,1,11,-0.26611944641729224,,,,,,,
119,,,,,,,,,,0.5136663263494512,0.05820423857136614,0.002280970751296185,0.0017108339252445148,-0.041645705097892005,0.4002657803622469,0.0
120,NotAtaxic,Switch,SwitchLeft01,S3,Washout,61,2,12,-1.154088492345295,,,,,,,
121,,,,,,,,,,0.09665055708455839,0.2354431865192801,0.0010033629566368052,0.327509099786937,-0.42260680535835604,-0.003629742246658907,3.0303030302966363
122,NotAtaxic,Switch,SwitchLeft01,S3,Washout,62,3,13,0.07848257970329087,,,,,,,
123,,,,,,,,,,0.40850398516414543,0.6769641495041947,0.002302143030022852,-1.1649854255444723,0.29844418920646376,0.437075682360728,3.03030303030755
124,NotAtaxic,Switch,SwitchLeft01,S3,Washout,63,4,14,-0.21294487847228538,,,,,,,
125,,,,,,,,,,0.21066183995721133,1.0824161853910137,0.002875425128899073,0.2904410314078518,0.2904988298511739,0.717267123135656,3.0303030303039122
126,NotAtaxic,Switch,SwitchLeft01,S4,Baseline,64,0,9,-0.111165672841679,,,,,,,
127,,,,,,,,,,-0.21934316615868,1.7701497768513135,-0.005559323331865068,0.08751454979481821,0.12512977677158688,-0.5058731695618519,3.0303030303039122
128,NotAtaxic,Switch,SwitchLeft01,S4,Baseline,65,1,10,0.633655894886374,,,,,,,
129,,,,,,,,,,0.24759311868687917,-0.6570279453574663,-0.002653297969697016,0.6100587170533913,-0.05684284248741278,0.21071771178583276,-3.637978807091713e-12
130,NotAtaxic,Switch,SwitchLeft01,S4,Baseline,66,2,11,-0.21183514835863093,,,,,,,
131,,,,,,,,,,0.002462213689653936,0.07749444268263161,-0.0013307805869317846,0.16510318023995296,-0.5081407951587096,0.5271025378295064,-3.637978807091713e-12
132,NotAtaxic,Switch,SwitchLeft01,S4,Split,67,0,12,-1.9878348918876583,,,,,,,
133,,,,,,,,,,-1.716583585899663,3.6903296998570223,-0.14006065103204607,12.372265440045012,5.848015679253393,-8.949826943753962,-30.303030303031846
134,NotAtaxic,Switch,SwitchLeft01,S4,Intersplit,68,0,27,0.1478252988872839,,,,,,,
135,,,,,,,,,,-0.03160996870559529,1.090770404271548,0.00015161127508683814,0.2683389066445727,-0.6347001200975342,0.8699359315814377,3.0303030302929983
136,NotAtaxic,Switch,SwitchLeft01,S4,Intersplit,69,1,28,-0.08042460740215063,,,,,,,
137,,,,,,,,,,0.6107677112926098,-0.6248984092475238,-0.0021845813458917923,0.1576664471867133,-0.13692836568817768,0.6913021357372742,-3.637978807091713e-12
138,NotAtaxic,Switch,SwitchLeft01,S4,Intersplit,70,2,29,1.2562868304286354,,,,,,,
139,,,,,,,,,,1.156087355180233,1.129606232581061,0.0014393231549568314,-1.3739328535775854,0.7647138653378818,1.2829443421026525,3.0303030302966363
140,NotAtaxic,Switch,SwitchLeft01,S4,Split,71,1,13,-4.312781131628782,,,,,,,
141,,,,,,,,,,-1.6863177521060067,7.17247600679412,-0.14619846162972683,12.157478717842494,5.122922646878919,-9.749846024946706,-25.757575757583254
142,NotAtaxic,Switch,SwitchLeft01,S4,Intersplit,72,3,30,1.974888040561865,,,,,,,
143,,,,,,,,,,1.1144811456853745,-1.496098380263784,-0.001489561414186602,-0.4862390383325561,0.5814947263158672,1.3549188170770066,-9.094947017729282e-12
144,NotAtaxic,Switch,SwitchLeft01,S4,Intersplit,73,4,31,0.4254196629379692,,,,,,,
145,,,,,,,,,,0.19577103431780785,-2.6281937752189473,-0.002715399926191034,-0.8462347165502138,-0.3747862998885836,0.48545683273162865,-3.637978807091713e-12
146,NotAtaxic,Switch,SwitchLeft01,S4,Intersplit,74,5,32,0.7432186242305932,,,,,,,
147,,,,,,,,,,0.5871820931482858,-0.8524027459954242,-0.0007210056028973261,1.220988263987536,-0.009590688377969059,0.7089248811356015,3.0303030302975458
148,NotAtaxic,Switch,SwitchLeft01,S4,Split,75,2,14,-1.7265628082583788,,,,,,,
149,,,,,,,,,,-1.116979001748419,5.680881803289685,-0.13873855170252353,12.584509030737081,5.694121543807199,-8.422100182735562,-24.24242424242948
150,NotAtaxic,Switch,SwitchLeft01,S4,Intersplit,76,6,33,1.1987165971235925,,,,,,,
