,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Asym
148,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Baseline,2,1,1,0.23429177024149084
149,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Baseline,3,2,2,-0.6298720234572031
150,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Baseline,4,3,3,-0.7249620225694642
151,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Baseline,5,4,4,-0.8098332568852342
152,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Baseline,6,5,5,-0.5013244320647701
153,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Split,7,0,0,-6.71678022904829
154,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Split,8,1,1,-5.316547432331099
155,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Split,9,2,2,-7.095629759509144
156,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Split,10,3,3,-4.5613452641650625
157,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Split,11,4,4,-5.118059871172655
158,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Split,12,5,5,-3.250615283696341
159,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Split,13,6,6,-5.268998579545446
160,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Split,14,7,7,-2.9505103525488963
161,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Split,15,8,8,-3.6035556985873782
162,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Split,16,9,9,-3.017679850260386
163,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Split,17,10,10,-2.061408457129879
164,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Split,18,11,11,-3.1219636551057377
165,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Split,19,12,12,-0.9391399345012488
166,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Split,20,13,13,0.6886646001026193
167,NotAtaxic,NoSwitch,NoSwitchLeft03,S1,Split,21,14,14,1.068508263790271
168,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Split,22,0,15,-1.2351249926017758
169,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Split,23,1,16,-1.9115101207386047
170,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Split,24,2,17,0.7156988587042505
171,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Split,25,3,18,0.974019368489607
172,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Split,26,4,19,2.47811982125949
173,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Split,27,5,20,2.323751738577208
174,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Split,28,6,21,0.9301079644097499
175,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Split,29,7,22,3.4738020463423567
176,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Split,30,8,23,2.2685195460464556
177,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Split,31,9,24,0.9708751331676737
178,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Split,32,10,25,3.838648940577677
179,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Split,33,11,26,3.871355153093468
180,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Split,34,12,27,4.4106685754024895
181,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Split,35,13,28,0.6518016229743395
182,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Split,36,14,29,1.2252345229640227
183,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Washout,37,0,0,
184,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Washout,38,1,1,
185,NotAtaxic,NoSwitch,NoSwitchLeft03,S2,Washout,39,2,2,
