,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Perc,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,duty_factor,stance_duration
10051,NotAtaxic,Switch,Switch05,S3,Washout,61,8,30,1,0.48536820845171746,-1.9897540933896494,-4.686373467916366,0.015209975805523204,5.003803908222849,-1.3150125051352148,-0.07957677648528261,-0.8898378585262741,13.636363636364422
10052,NotAtaxic,Switch,Switch05,S3,Washout,61,8,30,2,-2.73931484029751,-2.4361526646737914,0.0,0.0025436090915765402,9.271995467368981,-2.822942658840759,-1.7659137947390633,-3.7446311858130237,12.121212121212011
10053,NotAtaxic,Switch,Switch05,S3,Washout,61,8,30,3,0.4957488088896582,-1.4314856715615178,2.264691829909222,0.005733817475916572,15.08346711746367,-2.3072156039151537,-0.27277000022657205,-6.827208738978889,12.121212121210192
10054,NotAtaxic,Switch,Switch05,S3,Washout,61,8,30,4,-2.646159162425022,-0.2304003015651901,-2.4499242697308303,0.002931352685420552,6.5459203238438874,-0.7055301858921581,0.36519765853880415,-7.0023328509068,1.515151515155594
10055,NotAtaxic,Switch,Switch05,S3,Washout,61,8,30,5,0.7202225502091153,-1.102007571468782,-3.368631846125955,-0.0091644421428302,4.64509135544904,-0.12399307405107152,-1.2359637202638538,-1.184106269573114,-4.54545454545223
10056,NotAtaxic,Switch,Switch05,S3,Washout,61,8,30,6,-1.2399846857244086,-0.35731456149062524,-3.802521008403362,0.013859564883743694,12.643085826526999,-1.5583230991556292,0.4153647808113874,-3.431372549023795,9.090909090915375
10057,NotAtaxic,Switch,Switch05,S3,Washout,61,8,30,7,-4.867823437006734,-0.9499976652780049,-1.2987012987012987,0.004789819843401016,8.19560349589645,-1.6040724937361972,-0.36007454901027813,-6.095377619959372,6.0606060606005485
10058,NotAtaxic,Switch,Switch05,S3,Washout,61,8,30,8,-4.385892309323708,-1.3774422003503588,1.5951128457491928,-0.002040648382582999,2.7667267153961745,-1.9718555488971674,-1.629794607258816,-1.6252374328863937,-3.0303030303039122
10059,NotAtaxic,Switch,Switch05,S3,Washout,61,8,30,9,-1.6061262650923993,-0.9250576369428956,-3.508771929824561,-0.004670903917964847,4.988606770833343,-2.0912792431499554,-0.2549430336614762,-4.424333836106982,-6.0606060606078245
10060,NotAtaxic,Switch,Switch05,S3,Washout,62,9,31,0,2.4691726222182666,-1.8972149322469818,1.9442026722107602,0.008011256259850844,0.9001606642597864,-0.06628651533743835,-0.857765385598853,2.6121221881870937,-1.5151515151519561
10061,NotAtaxic,Switch,Switch05,S3,Washout,62,9,31,1,-2.8221284500276624,-0.6661244636572974,-1.3888888888888888,-0.004414199395106816,7.459352611635381,-2.354608400903601,0.3107149191577321,-2.1534820824936176,30.303030303031846
10062,NotAtaxic,Switch,Switch05,S3,Washout,62,9,31,2,1.5377930920533487,-0.03142675182830601,-1.64374840845429,-0.0058755991174990335,5.667815545592632,2.297003582270449,-1.2429592585322666,-4.472057937845655,-1.8189894035458565e-12
10063,NotAtaxic,Switch,Switch05,S3,Washout,62,9,31,3,-1.7181858871922344,-1.0819486216803895,-3.6534791281013677,-0.002457625796396662,3.396714335740242,-0.3499715015141902,-1.5589183027094151,-4.372357144685775,-7.575757575754324
10064,NotAtaxic,Switch,Switch05,S3,Washout,62,9,31,4,-3.841877946949978,-2.4045590721938055,2.8920187793427226,-0.008467774732298122,7.706089212436865,-1.6536096129754583,-2.854104355128129,1.4301867019595775,15.151515151512285
10065,NotAtaxic,Switch,Switch05,S3,Washout,62,9,31,5,-3.5833416563092158,-2.8013164870405234,1.34493670886076,-0.012387958458437737,8.94695243450127,-0.92580390698987,-2.952951253062537,0.9594152976458545,24.242424242424022
10066,NotAtaxic,Switch,Switch05,S3,Washout,62,9,31,6,-3.164403125493223,-1.982517728273649,-2.366529201402243,-0.00014018604591377326,9.910344595860934,-0.6480284411497905,-1.8324359498842853,-4.64831099124514,-1.515151515159232
10067,NotAtaxic,Switch,Switch05,S3,Washout,62,9,31,7,-2.894546046401544,-0.7664683412762372,-1.3635623635623633,-0.0017086431690834236,3.985711300011829,-3.019032333836421,-0.3994892341922025,-5.724229679009635,-1.5151515151519561
